fname,telescope,filter,plate_scale,n_stars,median,mean,std,max,mad_sigma,iqr_p16_p84,flag_high_scatter,flag_very_soft,flag_few_stars,any_flag
ASAS14ad_B_comb_dup.fits,dup,B,0.23,16,1.1262636626642502,1.1583276541095686,0.15742543013617555,1.7149073488257773,0.06560260870636297,0.10558731374477737,False,False,False,False
ASAS14ad_V_comb_dup.fits,dup,V,0.23,24,0.9783338243947695,0.9873210705241641,0.1233572075780608,1.5428947728039284,0.0355466917794023,0.0613855521140283,False,False,False,False
ASAS14hp_B_comb_dup.fits,dup,B,0.23,24,1.5545714823499868,1.5555078952840218,0.012033419545731892,1.5759526262747179,0.014063771658628729,0.025986236652833394,False,False,False,False
ASAS14hp_V_comb_dup.fits,dup,V,0.23,25,1.3119689673382915,1.3521312392365388,0.17350107651271884,2.167366471722853,0.009675134624882302,0.02327667831948088,False,False,False,False
ASAS14hr_B_comb_dup.fits,dup,B,0.23,23,0.39737558468500633,0.8750661685668131,0.6024102122630802,1.5624206278893982,0.17894139330543754,1.2257572735574507,False,False,False,False
ASAS14hr_V_comb_dup.fits,dup,V,0.23,17,1.628524991339024,1.629695493181708,0.01778075034273302,1.6851061243389567,0.012606158027693338,0.023650461937322786,False,False,False,False
ASAS14hu_B_comb_dup.fits,dup,B,0.23,25,1.358466311988241,1.3724519331010798,0.10202551428757592,1.6014955425542219,0.09038559632003645,0.15714080941105624,False,False,False,False
ASAS14hu_V_comb_dup.fits,dup,V,0.23,25,1.195952034650027,1.2026644491138159,0.13776634984589298,1.5333968922358818,0.06662403346850926,0.181311756336483,False,False,False,False
ASAS14hu_V_comb_swo.fits,swo,V,0.43,25,1.6183154397778745,1.7743223101511634,0.7377471286197768,5.237920806886801,0.16262177126872865,0.293285790600889,False,False,False,False
ASAS14jc_B_comb_dup.fits,dup,B,0.23,25,1.0463925332801107,1.081727271281108,0.11765469722437073,1.606710756144861,0.0333118758232121,0.08613989101932562,False,False,False,False
ASAS14jc_V_comb_dup.fits,dup,V,0.23,25,0.9288113020023651,0.974188741530992,0.11924524532439996,1.3026366294893716,0.03444469893757882,0.09982670951085593,False,False,False,False
ASAS14jc_V_comb_swo.fits,swo,V,0.43,25,2.3581480680050215,2.3513029776564314,0.39624701025348674,3.0664330352933233,0.39522997942944454,0.7743248756722751,False,True,False,True
ASAS14jg_B_comb_dup.fits,dup,B,0.23,21,1.414476366461242,1.5128268970998067,0.41507355442447297,3.3141425486447926,0.028942258899924425,0.05610009133164784,False,False,False,False
ASAS14jg_V_comb_dup.fits,dup,V,0.23,25,1.3768168455240868,1.4284339379616648,0.2048155648505329,2.197465380444263,0.11810053962025989,0.23560570858583896,False,False,False,False
ASAS14jz_B_comb_dup.fits,dup,B,0.23,25,1.546377914972275,1.5449776821806287,0.05020862760255262,1.6919258530917018,0.013340368469652772,0.040222826535087464,False,False,False,False
ASAS14jz_V_comb_dup.fits,dup,V,0.23,25,1.3609088324159508,1.4154947665557855,0.24212793106153863,2.5687710725807946,0.03530761900261228,0.06396641603951858,False,False,False,False
ASAS14jz_V_comb_swo.fits,swo,V,0.43,25,1.6398891956682908,1.8537083130170355,0.46808834207183087,2.993331488944069,0.13432909475551275,0.8091253067951989,False,False,False,False
ASAS14kd_V_comb_swo.fits,swo,V,0.43,25,1.7291158901531969,1.8153893054260044,0.21812917175260538,2.491248593332434,0.06946800438186641,0.2753758511355491,False,False,False,False
ASAS14kq_B_comb_dup.fits,dup,B,0.23,19,1.2977835843507926,1.297542153621951,0.01154153976804442,1.3171035169326248,0.013527110747396277,0.021863413819479094,False,False,False,False
ASAS14kq_V_comb_dup.fits,dup,V,0.23,24,1.2206041194772,1.2805004058154632,0.20826581093577806,2.141378697061776,0.02202619839186979,0.03675309543493266,False,False,False,False
ASAS14lo_V_comb_swo.fits,swo,V,0.43,25,1.77764615391638,1.805608338953062,0.1240511850504294,2.215517627903812,0.11031848161836924,0.18905053029409258,False,False,False,False
ASAS14lp_V_comb_swo.fits,swo,V,0.43,25,1.571226101848693,1.7319023036518717,0.7537356401199424,5.246011560114118,0.12811691448319149,0.2207683251568151,False,False,False,False
ASAS14lq_B_comb_dup.fits,dup,B,0.159,18,1.1911474855683637,1.2326503143205323,0.18862269048467448,1.9872765141183935,0.011380096550478318,0.021616009741539433,False,False,False,False
